source-cph,source-count,source-date,target-cph,target-count,target-date,animal-type,haulier-id
65/101/4707,55,2024-03-07,43/105/5797,55,2024-03-08,POR,H0047
46/103/9340,10,2024-07-23,43/108/3423,10,2024-07-24,BOV,H0009
46/106/8960,5,2024-03-16,45/111/7641,4,2024-03-19,BOV,H0014
83/103/4451,8,2024-01-15,79/102/7075,8,2024-01-18,BOV,H0085
58/105/9218,2,2024-06-30,59/103/9713,1,2024-07-03,BOV,H0028
46/106/8960,33,2024-08-13,20/111/5586,33,2024-08-15,POR,H0048
21/111/1316,47,2024-05-30,20/106/5240,45,2024-05-31,POR,H0052
46/103/9340,10,2024-08-09,21/108/5832,10,2024-08-09,BOV,H0088
43/103/0734,2,2024-01-28,14/104/3572,2,2024-01-28,BOV,H0074
43/108/3423,2,2024-11-13,18/109/4035,2,2024-11-16,BOV,H0051
19/103/4972,5,2024-03-28,44/104/6336,5,2024-03-29,BOV,H0045
47/104/3940,19,2024-02-18,47/106/2335,19,2024-02-19,OVI,H0065
86/104/7004,55,2024-03-28,19/105/6652,53,2024-03-30,OVI,H0088
46/101/1826,8,2024-01-07,21/113/2293,8,2024-01-10,BOV,H0055
14/101/5551,5,2024-03-28,46/104/8944,5,2024-03-28,BOV,H0077
19/107/2569,1,2024-05-06,44/108/6668,1,2024-05-09,BOV,H0015
18/105/5476,5,2024-09-25,21/116/1063,5,2024-09-26,BOV,H0097
21/111/1316,5,2024-06-20,43/104/0879,5,2024-06-23,BOV,H0063
76/102/4719,17,2024-05-09,73/101/2323,17,2024-05-11,CERV,H0059
19/104/6041,6,2024-12-05,43/102/2744,6,2024-12-08,BOV,H0015
44/106/6022,41,2024-07-29,44/112/6420,41,2024-07-30,POR,H0085
58/103/4865,10,2024-08-08,89/101/6280,10,2024-08-10,BOV,H0027
88/102/5115,7,2024-05-20,65/102/1500,7,2024-05-23,BOV,H0068
44/103/2031,23,2024-07-19,19/101/6963,23,2024-07-22,CERV,H0036
18/104/0164,9,2024-11-09,20/108/0989,9,2024-11-09,BOV,H0056
47/102/2370,23,2024-01-05,19/106/0928,23,2024-01-08,OVI,H0088
21/113/2293,34,2024-10-12,44/106/6022,29,2024-10-13,POR,H0039
21/108/5832,5,2024-01-21,14/102/1127,5,2024-01-22,BOV,H0037
20/102/8452,1,2024-12-04,47/107/1950,1,2024-12-04,BOV,H0007
46/107/7764,5,2024-09-14,46/105/6171,5,2024-09-15,BOV,H0012
67/101/6113,4,2024-02-11,88/102/5115,4,2024-02-13,BOV,H0029
14/105/3675,16,2024-11-22,46/103/9340,16,2024-11-25,CERV,H0055
44/107/2090,17,2024-06-08,45/106/0552,12,2024-06-09,CERV,H0073
19/109/2955,52,2024-12-15,18/114/1531,52,2024-12-16,OVI,H0033
18/105/5476,20,2024-06-01,43/107/6335,20,2024-06-04,POR,H0070
18/106/4621,54,2024-03-11,46/101/1826,54,2024-03-14,OVI,H0089
46/107/7764,23,2024-08-06,44/115/0281,23,2024-08-09,CERV,H0054
47/102/2370,2,2024-02-15,80/102/5046,1,2024-02-16,CERV,H0079
71/101/5048,24,2024-10-05,43/101/6105,24,2024-10-07,POR,H0007
21/107/3753,1,2024-09-22,57/102/8978,1,2024-09-25,BOV,H0007
19/106/0928,2,2024-02-19,21/103/5444,2,2024-02-21,BOV,H0073
45/107/0562,1,2024-10-26,18/113/8362,1,2024-10-26,BOV,H0090
18/112/5805,8,2024-12-11,21/107/3753,8,2024-12-12,BOV,H0039
58/103/4865,60,2024-09-05,47/108/1420,60,2024-09-06,OVI,H0015
19/107/2569,2,2024-05-06,21/106/7308,2,2024-05-07,BOV,H0014
21/104/7988,29,2024-03-03,44/110/2404,29,2024-03-05,OVI,H0052
20/107/0777,4,2024-10-06,14/105/3675,4,2024-10-08,BOV,H0079
85/101/3152,40,2024-03-15,76/103/4943,40,2024-03-15,OVI,H0024
14/106/1194,16,2024-12-24,20/103/3608,16,2024-12-25,OVI,H0061
19/104/6041,2,2024-07-07,21/114/5617,1,2024-07-09,BOV,H0051
21/102/2243,30,2024-08-05,19/101/6963,30,2024-08-06,OVI,H0004
45/103/2966,7,2024-06-04,18/112/5805,7,2024-06-04,BOV,H0083
69/101/3188,29,2024-06-30,89/101/6280,29,2024-07-01,POR,H0060
20/110/8104,3,2024-09-14,80/101/6034,3,2024-09-15,BOV,H0045
94/101/2124,12,2024-06-29,46/107/7764,12,2024-07-01,POR,H0059
86/102/6401,18,2024-12-03,81/103/1696,18,2024-12-05,OVI,H0051
18/110/8187,31,2024-08-29,21/114/5617,31,2024-08-30,OVI,H0074
79/102/7075,43,2024-03-07,91/101/1280,43,2024-03-09,POR,H0076
47/107/1950,26,2024-01-16,89/102/5600,26,2024-01-17,POR,H0030
46/102/6489,8,2024-04-28,20/109/6169,8,2024-04-29,BOV,H0014
43/110/7680,49,2024-02-01,89/102/5600,48,2024-02-03,OVI,H0015
20/101/1631,29,2024-11-06,45/109/5841,29,2024-11-06,OVI,H0023
18/110/8187,25,2024-11-22,19/107/2569,25,2024-11-23,POR,H0026
45/101/7297,5,2024-03-23,18/110/8187,5,2024-03-26,BOV,H0068
14/104/3572,41,2024-04-14,47/107/1950,40,2024-04-14,POR,H0018
18/109/4035,9,2024-06-23,66/102/1243,9,2024-06-24,BOV,H0088
81/101/9177,34,2024-04-16,73/103/4974,34,2024-04-19,CERV,H0065
21/109/6724,36,2024-02-04,19/102/4665,36,2024-02-07,POR,H0055
57/103/7768,37,2024-09-21,57/101/7138,37,2024-09-23,OVI,H0013
20/107/0777,10,2024-01-12,44/106/6022,10,2024-01-13,BOV,H0038
44/109/6112,5,2024-03-21,82/103/4508,5,2024-03-23,OVI,H0010
58/105/9218,9,2024-06-08,47/107/1950,4,2024-06-11,BOV,H0080
18/114/1531,8,2024-05-14,18/107/6213,8,2024-05-14,POR,H0005
45/101/7297,6,2024-01-31,21/102/2243,6,2024-02-01,BOV,H0027
47/102/2370,60,2024-02-01,59/101/6657,60,2024-02-02,OVI,H0064
20/109/6169,40,2024-01-19,20/104/4395,40,2024-01-21,CERV,H0010
67/103/7011,6,2024-09-02,21/116/1063,6,2024-09-03,POR,H0035
83/102/4189,8,2024-11-28,65/102/1500,8,2024-11-30,BOV,H0056
44/108/6668,57,2024-01-29,44/102/6848,56,2024-01-29,OVI,H0100
43/103/0734,25,2024-01-10,57/104/4358,25,2024-01-13,POR,H0007
18/101/5435,3,2024-08-06,19/103/4972,3,2024-08-07,BOV,H0015
45/109/5841,58,2024-04-09,21/107/3753,58,2024-04-11,OVI,H0056
20/109/6169,1,2024-10-01,74/101/2457,1,2024-10-01,BOV,H0002
21/113/2293,1,2024-04-02,64/101/7039,1,2024-04-04,BOV,H0006
21/114/5617,57,2024-05-29,44/111/0907,57,2024-05-30,POR,H0078
14/103/4165,43,2024-05-08,20/106/5240,43,2024-05-09,POR,H0064
83/102/4189,58,2024-08-15,71/101/5048,56,2024-08-17,OVI,H0047
44/116/3299,34,2024-06-12,59/104/6331,34,2024-06-12,POR,H0007
20/103/3608,10,2024-02-10,43/102/2744,10,2024-02-11,BOV,H0018
58/103/4865,9,2024-07-09,43/111/5983,9,2024-07-10,BOV,H0005
61/101/7191,30,2024-09-12,47/103/5628,29,2024-09-12,POR,H0035
18/107/6213,2,2024-11-08,19/106/0928,2,2024-11-11,BOV,H0064
20/103/3608,8,2024-04-15,20/111/5586,8,2024-04-18,BOV,H0024
65/103/7869,43,2024-10-04,72/101/6646,43,2024-10-06,POR,H0004
83/101/8622,5,2024-10-29,44/107/2090,5,2024-10-30,BOV,H0097
45/105/3877,40,2024-08-06,21/104/7988,40,2024-08-06,OVI,H0014
47/101/0376,19,2024-09-30,59/101/6657,19,2024-10-03,CERV,H0055
59/104/6331,34,2024-07-14,47/102/2370,34,2024-07-17,POR,H0096
47/101/0376,18,2024-05-20,94/103/3605,18,2024-05-20,CERV,H0032
21/106/7308,3,2024-07-04,57/102/8978,3,2024-07-06,POR,H0085
18/104/0164,50,2024-03-04,45/105/3877,50,2024-03-06,POR,H0073
80/101/6034,55,2024-08-24,77/103/0238,55,2024-08-24,OVI,H0057
18/108/0556,6,2024-10-11,19/106/0928,6,2024-10-12,BOV,H0053
20/106/5240,18,2024-10-09,45/104/4653,18,2024-10-11,CERV,H0009
46/102/6489,5,2024-09-10,45/109/5841,5,2024-09-11,BOV,H0030
59/102/0681,10,2024-04-29,57/102/8978,10,2024-04-29,BOV,H0084
21/101/0374,56,2024-06-11,45/104/4653,56,2024-06-11,POR,H0071
85/102/7800,5,2024-12-13,85/101/3152,4,2024-12-15,BOV,H0070
68/102/3759,23,2024-09-16,69/101/3188,23,2024-09-19,POR,H0015
58/106/1499,6,2024-12-14,58/102/9234,6,2024-12-17,BOV,H0010
58/104/2683,10,2024-11-06,57/103/7768,10,2024-11-08,OVI,H0043
75/101/2303,5,2024-03-23,47/108/1420,5,2024-03-25,BOV,H0006
21/104/7988,10,2024-11-07,43/107/6335,10,2024-11-08,BOV,H0041
58/106/1499,33,2024-12-30,57/103/7768,33,2025-01-01,OVI,H0028
44/105/6859,43,2024-07-14,43/103/0734,43,2024-07-14,POR,H0010
82/102/9679,37,2024-08-02,47/103/5628,37,2024-08-02,POR,H0068
47/102/2370,34,2024-05-17,46/105/6171,34,2024-05-18,POR,H0074
45/102/5645,4,2024-07-04,18/114/1531,4,2024-07-05,BOV,H0059
44/111/0907,16,2024-07-28,44/102/6848,16,2024-07-30,CERV,H0011
44/109/6112,59,2024-09-04,44/108/6668,59,2024-09-05,POR,H0058
19/101/6963,9,2024-07-27,58/104/2683,7,2024-07-28,OVI,H0078
43/106/8719,6,2024-07-28,21/113/2293,6,2024-07-31,BOV,H0065
75/102/1580,50,2024-04-02,47/102/2370,50,2024-04-05,POR,H0002
14/101/5551,9,2024-08-28,43/101/6105,9,2024-08-28,BOV,H0017
90/102/3072,3,2024-09-20,20/108/0989,4,2024-09-23,BOV,H0055
19/103/4972,9,2024-05-30,45/110/2091,9,2024-05-30,BOV,H0044
66/102/1243,40,2024-01-24,44/117/3237,40,2024-01-24,POR,H0095
60/102/2702,29,2024-08-11,14/102/1127,29,2024-08-13,CERV,H0097
19/108/4032,3,2024-10-28,20/109/6169,3,2024-10-28,BOV,H0020
61/101/7191,8,2024-08-12,46/107/7764,8,2024-08-13,BOV,H0066
66/102/1243,2,2024-09-09,90/102/3072,2,2024-09-11,BOV,H0007
47/102/2370,38,2024-08-06,59/105/3762,38,2024-08-08,OVI,H0042
21/105/0410,10,2024-04-17,21/114/5617,10,2024-04-20,OVI,H0067
21/103/5444,21,2024-05-25,43/105/5797,21,2024-05-26,OVI,H0016
45/108/6808,4,2024-05-27,19/101/6963,4,2024-05-29,BOV,H0078
58/106/1499,10,2024-10-09,21/105/0410,10,2024-10-10,POR,H0004
47/107/1950,9,2024-04-09,58/103/4865,9,2024-04-09,BOV,H0063
19/109/2955,10,2024-08-15,47/101/0376,10,2024-08-16,BOV,H0059
21/111/1316,2,2024-08-09,21/116/1063,2,2024-08-12,BOV,H0034
14/102/1127,5,2024-02-29,44/115/0281,5,2024-03-02,BOV,H0011
81/102/0810,2,2024-09-16,88/103/7882,2,2024-09-18,BOV,H0036
44/114/8427,44,2024-12-27,18/103/1134,44,2024-12-29,OVI,H0005
21/106/7308,34,2024-10-12,44/107/2090,34,2024-10-12,CERV,H0082
59/101/6657,10,2024-04-22,47/101/0376,10,2024-04-23,BOV,H0034
44/104/6336,3,2024-05-24,45/107/0562,3,2024-05-25,BOV,H0026
58/103/4865,9,2024-04-19,59/105/3762,9,2024-04-19,BOV,H0056
21/102/2243,14,2024-01-20,45/107/0562,14,2024-01-23,POR,H0089
21/113/2293,10,2024-06-27,19/101/6963,10,2024-06-30,BOV,H0068
80/102/5046,5,2024-05-29,76/101/4077,5,2024-06-01,BOV,H0063
44/114/8427,8,2024-04-22,58/105/9218,8,2024-04-22,BOV,H0097
21/113/2293,4,2024-02-29,57/104/4358,4,2024-03-01,BOV,H0060
87/103/6133,7,2024-09-04,58/103/4865,7,2024-09-07,BOV,H0077
44/106/6022,5,2024-04-20,46/101/1826,5,2024-04-23,BOV,H0008
59/105/3762,6,2024-08-14,57/102/8978,6,2024-08-17,BOV,H0052
21/104/7988,8,2024-06-22,44/107/2090,8,2024-06-22,BOV,H0040
45/111/7641,3,2024-11-16,19/101/6963,3,2024-11-16,BOV,H0079
47/105/8519,9,2024-01-11,58/106/1499,9,2024-01-14,BOV,H0012
45/111/7641,9,2024-01-26,58/101/0855,9,2024-01-27,BOV,H0047
58/103/4865,35,2024-04-27,59/104/6331,35,2024-04-29,CERV,H0021
45/109/5841,4,2024-01-11,83/102/4189,3,2024-01-11,BOV,H0065
45/108/6808,3,2024-01-13,44/115/0281,3,2024-01-14,BOV,H0081
46/107/7764,2,2024-07-12,47/106/2335,2,2024-07-15,BOV,H0017
59/103/9713,5,2024-12-26,19/102/4665,5,2024-12-29,OVI,H0003
19/103/4972,39,2024-10-28,18/107/6213,38,2024-10-31,OVI,H0025
57/104/4358,28,2024-01-12,20/108/0989,28,2024-01-14,OVI,H0036
14/101/5551,10,2024-05-29,21/113/2293,10,2024-06-01,BOV,H0012
18/102/0498,5,2024-12-25,19/102/4665,5,2024-12-26,BOV,H0049
20/103/3608,7,2024-02-25,43/102/2744,2,2024-02-28,BOV,H0029
57/103/7768,4,2024-09-01,47/107/1950,4,2024-09-01,BOV,H0083
19/104/6041,2,2024-03-27,21/111/1316,2,2024-03-28,BOV,H0063
58/101/0855,7,2024-08-30,47/102/2370,7,2024-08-31,BOV,H0008
19/103/4972,6,2024-01-19,58/104/2683,6,2024-01-21,BOV,H0089
47/104/3940,1,2024-04-17,58/103/4865,1,2024-04-20,BOV,H0070
20/110/8104,16,2024-12-28,18/113/8362,16,2024-12-31,CERV,H0066
59/102/0681,47,2024-02-23,57/104/4358,47,2024-02-26,OVI,H0090
44/113/2793,1,2024-03-03,45/109/5841,1,2024-03-04,BOV,H0026
44/114/8427,3,2024-09-10,44/106/6022,3,2024-09-11,CERV,H0081
21/104/7988,36,2024-01-05,58/101/0855,36,2024-01-07,OVI,H0016
21/113/2293,5,2024-11-10,19/103/4972,5,2024-11-12,BOV,H0073
84/103/4695,9,2024-11-10,75/101/2303,9,2024-11-12,BOV,H0067
59/101/6657,4,2024-03-10,57/104/4358,1,2024-03-11,BOV,H0068
67/104/8627,6,2024-03-17,93/101/2942,6,2024-03-20,BOV,H0009
47/107/1950,13,2024-10-02,62/101/3385,13,2024-10-05,OVI,H0043
45/106/0552,39,2024-06-28,18/103/1134,39,2024-06-29,POR,H0045
47/105/8519,18,2024-08-06,47/107/1950,18,2024-08-08,CERV,H0048
59/101/6657,5,2024-11-24,57/104/4358,5,2024-11-25,BOV,H0010
47/105/8519,4,2024-05-14,47/104/3940,4,2024-05-14,BOV,H0017
58/101/0855,22,2024-10-30,19/105/6652,22,2024-11-01,OVI,H0095
70/103/8394,3,2024-04-28,19/105/6652,3,2024-04-29,BOV,H0012
73/102/0069,8,2024-06-14,43/110/7680,8,2024-06-14,BOV,H0007
19/109/2955,28,2024-06-16,43/105/5797,28,2024-06-18,OVI,H0065
18/106/4621,7,2024-06-30,58/106/1499,7,2024-07-02,BOV,H0067
46/102/6489,10,2024-03-26,44/110/2404,10,2024-03-28,BOV,H0092
20/101/1631,8,2024-05-08,21/112/3914,8,2024-05-08,BOV,H0072
76/101/4077,6,2024-12-09,14/103/4165,6,2024-12-11,BOV,H0094
44/119/3088,57,2024-07-14,20/111/5586,58,2024-07-16,POR,H0023
93/101/2942,6,2024-01-03,44/109/6112,6,2024-01-05,BOV,H0043
19/105/6652,5,2024-01-07,45/111/7641,5,2024-01-09,BOV,H0005
58/103/4865,26,2024-12-22,59/104/6331,26,2024-12-24,POR,H0036
57/101/7138,2,2024-08-29,59/105/3762,2,2024-09-01,CERV,H0063
21/104/7988,42,2024-02-23,20/105/9566,42,2024-02-23,OVI,H0048
21/103/5444,10,2024-03-31,44/112/6420,10,2024-04-01,OVI,H0011
21/113/2293,4,2024-12-29,45/102/5645,4,2024-12-29,OVI,H0041
43/109/2637,55,2024-11-10,18/111/8115,55,2024-11-10,POR,H0043
58/106/1499,3,2024-09-21,19/102/4665,1,2024-09-21,BOV,H0086
19/108/4032,43,2024-04-08,45/101/7297,43,2024-04-09,OVI,H0094
44/113/2793,1,2024-04-11,18/111/8115,1,2024-04-14,BOV,H0023
47/102/2370,1,2024-10-14,47/105/8519,1,2024-10-16,OVI,H0016
44/103/2031,45,2024-08-25,14/105/3675,45,2024-08-25,POR,H0015
21/111/1316,6,2024-01-11,64/101/7039,6,2024-01-12,BOV,H0002
19/102/4665,2,2024-05-06,43/106/8719,2,2024-05-08,BOV,H0088
47/102/2370,13,2024-03-08,58/103/4865,13,2024-03-10,CERV,H0007
45/108/6808,5,2024-06-10,44/107/2090,5,2024-06-13,BOV,H0029
43/101/6105,5,2024-08-13,57/101/7138,5,2024-08-15,BOV,H0012
44/115/0281,23,2024-09-24,18/102/0498,23,2024-09-27,POR,H0081
76/101/4077,10,2024-10-02,87/102/8921,10,2024-10-03,BOV,H0090
20/105/9566,44,2024-04-16,44/110/2404,44,2024-04-18,POR,H0090
82/104/8486,18,2024-04-17,57/102/8978,18,2024-04-19,OVI,H0028
18/102/0498,2,2024-11-19,44/110/2404,2,2024-11-20,BOV,H0061
44/119/3088,24,2024-12-03,14/104/3572,24,2024-12-03,POR,H0042
81/103/1696,56,2024-08-03,65/103/7869,54,2024-08-06,POR,H0043
18/111/8115,12,2024-03-24,46/102/6489,9,2024-03-27,CERV,H0070
19/102/4665,10,2024-10-21,21/115/0282,10,2024-10-24,BOV,H0094
46/105/6171,17,2024-11-03,44/119/3088,17,2024-11-05,OVI,H0062
88/102/5115,4,2024-09-16,62/101/3385,4,2024-09-16,BOV,H0054
44/112/6420,10,2024-01-15,43/103/0734,10,2024-01-16,BOV,H0066
18/105/5476,10,2024-04-11,44/118/4884,5,2024-04-12,BOV,H0017
72/101/6646,4,2024-03-13,67/102/0737,2,2024-03-15,OVI,H0059
20/106/5240,3,2024-03-29,44/109/6112,3,2024-03-31,BOV,H0040
44/118/4884,4,2024-05-05,21/102/2243,4,2024-05-06,BOV,H0088
58/103/4865,1,2024-06-25,58/104/2683,1,2024-06-25,OVI,H0061
58/103/4865,4,2024-07-11,47/101/0376,1,2024-07-14,BOV,H0091
21/112/3914,25,2024-03-09,46/102/6489,25,2024-03-12,CERV,H0099
21/103/5444,7,2024-09-30,43/106/8719,7,2024-09-30,BOV,H0045
45/108/6808,38,2024-11-07,45/103/2966,38,2024-11-08,OVI,H0099
18/110/8187,9,2024-11-08,19/109/2955,9,2024-11-11,BOV,H0010
57/104/4358,4,2024-06-03,59/102/0681,4,2024-06-06,BOV,H0012
18/103/1134,28,2024-06-08,19/102/4665,28,2024-06-11,POR,H0087
43/109/2637,27,2024-07-22,58/106/1499,27,2024-07-22,CERV,H0060
21/103/5444,42,2024-01-07,58/106/1499,42,2024-01-08,OVI,H0041
20/106/5240,44,2024-09-05,44/118/4884,44,2024-09-08,POR,H0055
21/103/5444,2,2024-08-18,47/108/1420,2,2024-08-20,BOV,H0100
19/103/4972,9,2024-04-01,21/107/3753,8,2024-04-04,BOV,H0069
58/104/2683,1,2024-12-28,43/101/6105,1,2024-12-30,BOV,H0026
59/105/3762,56,2024-01-25,58/101/0855,56,2024-01-28,POR,H0037
45/103/2966,30,2024-11-02,44/119/3088,30,2024-11-04,OVI,H0033
18/111/8115,50,2024-10-04,14/104/3572,50,2024-10-06,POR,H0023
46/103/9340,8,2024-11-21,21/112/3914,8,2024-11-21,BOV,H0077
43/111/5983,35,2024-05-07,21/107/3753,35,2024-05-08,OVI,H0011
58/104/2683,3,2024-08-08,47/101/0376,3,2024-08-10,BOV,H0045
75/102/1580,9,2024-01-21,57/103/7768,9,2024-01-21,BOV,H0042
18/112/5805,2,2024-02-10,20/103/3608,2,2024-02-12,BOV,H0082
93/102/6243,1,2024-05-11,69/103/6603,1,2024-05-11,BOV,H0056
65/103/7869,20,2024-10-03,59/101/6657,20,2024-10-04,POR,H0089
19/101/6963,7,2024-12-18,47/103/5628,7,2024-12-19,BOV,H0036
59/104/6331,7,2024-05-19,58/106/1499,4,2024-05-19,BOV,H0053
44/118/4884,43,2024-05-16,14/102/1127,43,2024-05-19,OVI,H0077
47/106/2335,4,2024-06-15,21/110/1147,4,2024-06-16,BOV,H0009
47/106/2335,39,2024-10-28,58/101/0855,39,2024-10-31,OVI,H0082
58/104/2683,31,2024-06-24,58/105/9218,30,2024-06-26,POR,H0041
14/105/3675,8,2024-09-12,46/102/6489,8,2024-09-13,BOV,H0069
83/101/8622,17,2024-12-04,60/102/2702,17,2024-12-04,POR,H0081
43/109/2637,6,2024-09-28,43/108/3423,6,2024-09-30,CERV,H0039
44/113/2793,8,2024-11-15,14/102/1127,8,2024-11-16,BOV,H0080
19/109/2955,1,2024-05-25,20/111/5586,1,2024-05-28,BOV,H0031
45/103/2966,25,2024-03-04,44/102/6848,25,2024-03-04,POR,H0051
21/116/1063,37,2024-03-22,44/112/6420,37,2024-03-25,CERV,H0071
21/110/1147,27,2024-06-12,19/107/2569,24,2024-06-14,OVI,H0081
19/109/2955,41,2024-06-11,45/103/2966,41,2024-06-14,OVI,H0029
46/103/9340,8,2024-03-31,80/103/4188,8,2024-04-03,BOV,H0037
45/104/4653,49,2024-03-29,14/102/1127,49,2024-03-29,OVI,H0050
58/102/9234,7,2024-11-21,47/105/8519,7,2024-11-21,BOV,H0080
44/111/0907,33,2024-01-12,14/104/3572,35,2024-01-14,POR,H0079
18/107/6213,31,2024-07-08,18/112/5805,31,2024-07-08,POR,H0096
57/101/7138,25,2024-04-08,59/102/0681,25,2024-04-09,OVI,H0059
21/111/1316,12,2024-12-30,44/114/8427,12,2024-12-31,OVI,H0042
44/103/2031,1,2024-08-24,45/109/5841,1,2024-08-27,BOV,H0032
71/101/5048,4,2024-08-24,67/104/8627,4,2024-08-24,BOV,H0078
47/102/2370,16,2024-02-05,45/104/4653,16,2024-02-05,CERV,H0096
21/115/0282,56,2024-08-28,18/101/5435,56,2024-08-31,POR,H0010
59/101/6657,35,2024-11-06,44/111/0907,35,2024-11-06,OVI,H0057
43/106/8719,19,2024-01-21,20/106/5240,19,2024-01-23,OVI,H0052
92/101/3390,42,2024-03-04,66/101/0434,42,2024-03-04,POR,H0019
57/104/4358,51,2024-03-27,18/114/1531,51,2024-03-29,POR,H0053
94/103/3605,4,2024-04-17,86/101/7709,4,2024-04-19,BOV,H0013
20/110/8104,30,2024-09-08,18/114/1531,30,2024-09-09,POR,H0097
44/111/0907,8,2024-08-18,20/102/8452,8,2024-08-20,BOV,H0073
14/105/3675,3,2024-05-27,20/103/3608,3,2024-05-27,BOV,H0029
86/104/7004,20,2024-10-17,45/110/2091,18,2024-10-19,OVI,H0061
65/103/7869,10,2024-12-21,63/102/8960,10,2024-12-22,POR,H0019
58/104/2683,17,2024-01-15,59/102/0681,17,2024-01-16,OVI,H0075
21/109/6724,17,2024-09-17,46/103/9340,17,2024-09-20,POR,H0062
47/106/2335,6,2024-10-27,59/105/3762,6,2024-10-29,BOV,H0067
43/109/2637,32,2024-09-25,18/107/6213,32,2024-09-28,OVI,H0023
44/101/1013,2,2024-06-07,43/105/5797,2,2024-06-08,BOV,H0029
21/108/5832,47,2024-11-28,19/109/2955,47,2024-11-29,POR,H0046
43/104/0879,41,2024-04-26,20/101/1631,36,2024-04-27,POR,H0047
83/102/4189,2,2024-05-18,69/101/3188,1,2024-05-18,BOV,H0008
46/103/9340,16,2024-04-03,18/112/5805,16,2024-04-04,POR,H0030
91/102/7168,1,2024-05-16,61/103/3057,1,2024-05-18,BOV,H0012
83/103/4451,59,2024-03-08,62/103/5759,59,2024-03-10,OVI,H0008
44/112/6420,10,2024-02-20,18/106/4621,10,2024-02-20,BOV,H0041
18/107/6213,8,2024-04-11,57/101/7138,8,2024-04-11,BOV,H0070
47/104/3940,20,2024-10-24,58/103/4865,20,2024-10-27,POR,H0015
89/101/6280,4,2024-11-21,75/102/1580,4,2024-11-24,BOV,H0001
20/108/0989,5,2024-03-31,19/104/6041,5,2024-04-02,BOV,H0065
21/104/7988,5,2024-09-29,21/102/2243,5,2024-09-30,BOV,H0044
20/107/0777,20,2024-02-27,43/111/5983,20,2024-02-28,POR,H0063
43/109/2637,33,2024-03-24,46/106/8960,33,2024-03-25,OVI,H0009
47/101/0376,8,2024-12-17,18/106/4621,8,2024-12-18,BOV,H0025
58/105/9218,9,2024-09-28,45/108/6808,9,2024-10-01,BOV,H0014
94/101/2124,14,2024-03-20,76/102/4719,14,2024-03-22,CERV,H0021
44/103/2031,3,2024-11-08,14/102/1127,3,2024-11-09,BOV,H0042
82/104/8486,51,2024-05-17,58/102/9234,51,2024-05-18,POR,H0034
43/107/6335,20,2024-06-05,20/108/0989,20,2024-06-07,OVI,H0094
43/109/2637,29,2024-10-15,21/104/7988,29,2024-10-18,OVI,H0098
44/115/0281,26,2024-07-28,44/114/8427,26,2024-07-30,OVI,H0083
47/107/1950,2,2024-04-13,45/106/0552,2,2024-04-14,OVI,H0085
75/102/1580,6,2024-08-06,79/102/7075,6,2024-08-09,BOV,H0042
57/103/7768,52,2024-09-14,47/101/0376,52,2024-09-17,OVI,H0036
14/106/1194,6,2024-10-30,20/105/9566,6,2024-11-02,BOV,H0006
14/104/3572,32,2024-11-06,59/101/6657,32,2024-11-09,CERV,H0008
18/108/0556,18,2024-08-12,44/115/0281,18,2024-08-14,POR,H0015
20/103/3608,5,2024-07-30,21/111/1316,5,2024-07-31,OVI,H0020
59/105/3762,36,2024-05-05,59/103/9713,36,2024-05-07,POR,H0074
58/103/4865,36,2024-05-29,57/104/4358,36,2024-05-29,POR,H0018
18/111/8115,46,2024-07-03,57/104/4358,46,2024-07-06,OVI,H0096
45/109/5841,8,2024-04-11,83/102/4189,8,2024-04-13,BOV,H0033
59/104/6331,9,2024-07-29,58/104/2683,9,2024-08-01,CERV,H0051
57/103/7768,4,2024-07-10,19/108/4032,1,2024-07-10,OVI,H0073
44/108/6668,9,2024-06-16,19/109/2955,9,2024-06-19,BOV,H0037
47/105/8519,48,2024-02-17,47/104/3940,48,2024-02-17,POR,H0069
20/110/8104,55,2024-08-27,44/109/6112,55,2024-08-28,POR,H0097
19/103/4972,53,2024-08-19,20/105/9566,53,2024-08-20,POR,H0084
14/104/3572,10,2024-09-27,45/102/5645,10,2024-09-30,BOV,H0003
44/105/6859,10,2024-01-10,43/106/8719,10,2024-01-10,BOV,H0029
20/104/4395,4,2024-06-16,18/113/8362,4,2024-06-19,BOV,H0084
80/104/9106,37,2024-03-19,94/103/3605,32,2024-03-20,OVI,H0099
20/106/5240,2,2024-11-04,46/107/7764,2,2024-11-04,BOV,H0100
14/105/3675,2,2024-06-10,18/103/1134,2,2024-06-11,BOV,H0085
44/110/2404,7,2024-04-21,20/110/8104,8,2024-04-23,BOV,H0004
21/101/0374,29,2024-07-11,20/109/6169,29,2024-07-11,OVI,H0057
68/102/3759,1,2024-07-23,44/107/2090,1,2024-07-24,BOV,H0027
58/104/2683,3,2024-10-23,21/106/7308,3,2024-10-23,BOV,H0021
45/106/0552,10,2024-06-11,58/106/1499,10,2024-06-14,BOV,H0025
21/101/0374,9,2024-05-10,44/109/6112,9,2024-05-10,BOV,H0059
45/106/0552,7,2024-02-21,44/113/2793,7,2024-02-23,BOV,H0047
60/101/5598,5,2024-12-25,19/104/6041,5,2024-12-25,BOV,H0084
57/101/7138,8,2024-05-20,57/104/4358,8,2024-05-22,BOV,H0006
46/106/8960,10,2024-09-22,44/118/4884,10,2024-09-23,BOV,H0018
